indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Active travel to work,NHS Western Isles,S08000028,Health board,2007,2007/2008 survey years,NA,16.3,9.2,23.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Clackmannanshire,S12000005,Council area,2007,2007/2008 survey years,NA,10.9,6.2,15.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dumfries & Galloway,S12000006,Council area,2007,2007/2008 survey years,NA,16.3,12,20.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Ayrshire,S12000008,Council area,2007,2007/2008 survey years,NA,6.2,2.9,9.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Lothian,S12000010,Council area,2007,2007/2008 survey years,NA,13,8.4,17.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Renfrewshire,S12000011,Council area,2007,2007/2008 survey years,NA,2.8,0.6,5.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,Na h-Eileanan Siar,S12000013,Council area,2007,2007/2008 survey years,NA,16.3,9.2,23.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Falkirk,S12000014,Council area,2007,2007/2008 survey years,NA,10,6.1,13.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Fife,S12000047,Council area,2007,2007/2008 survey years,NA,9.6,7.2,12,Percentage,Scottish Household Survey (SHS)
Active travel to work,Highland,S12000017,Council area,2007,2007/2008 survey years,NA,20.6,16.5,24.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Inverclyde,S12000018,Council area,2007,2007/2008 survey years,NA,8.9,4.9,12.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Midlothian,S12000019,Council area,2007,2007/2008 survey years,NA,12.2,7.4,17.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,Moray,S12000020,Council area,2007,2007/2008 survey years,NA,19.2,13.6,24.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Ayrshire,S12000021,Council area,2007,2007/2008 survey years,NA,10.7,6.5,14.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Orkney Islands,S12000023,Council area,2007,2007/2008 survey years,NA,21.8,15.6,28,Percentage,Scottish Household Survey (SHS)
Active travel to work,Perth & Kinross,S12000048,Council area,2007,2007/2008 survey years,NA,13.4,8.9,17.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scottish Borders,S12000026,Council area,2007,2007/2008 survey years,NA,16.8,10.9,22.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Shetland Islands,S12000027,Council area,2007,2007/2008 survey years,NA,10.7,6,15.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Ayrshire,S12000028,Council area,2007,2007/2008 survey years,NA,10.7,6.2,15.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Lanarkshire,S12000029,Council area,2007,2007/2008 survey years,NA,7.3,4.9,9.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Stirling,S12000030,Council area,2007,2007/2008 survey years,NA,11.4,6.6,16.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeen City,S12000033,Council area,2007,2007/2008 survey years,NA,17.5,13.8,21.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeenshire,S12000034,Council area,2007,2007/2008 survey years,NA,13.1,10,16.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,Argyll & Bute,S12000035,Council area,2007,2007/2008 survey years,NA,21.4,15.8,27,Percentage,Scottish Household Survey (SHS)
Active travel to work,City of Edinburgh,S12000036,Council area,2007,2007/2008 survey years,NA,26.2,22.8,29.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Renfrewshire,S12000038,Council area,2007,2007/2008 survey years,NA,11.5,7.6,15.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Dunbartonshire,S12000039,Council area,2007,2007/2008 survey years,NA,13.3,7.7,18.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Lothian,S12000040,Council area,2007,2007/2008 survey years,NA,8.8,4.9,12.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Angus,S12000041,Council area,2007,2007/2008 survey years,NA,21.4,15.1,27.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dundee City,S12000042,Council area,2007,2007/2008 survey years,NA,20.6,15,26.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Lanarkshire,S12000050,Council area,2007,2007/2008 survey years,NA,8.2,5.5,10.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Dunbartonshire,S12000045,Council area,2007,2007/2008 survey years,NA,10.5,5.9,15.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Glasgow City,S12000049,Council area,2007,2007/2008 survey years,NA,16.4,13.7,19,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scotland,S00000001,Scotland,2009,2009/2010 survey years,NA,15.2,14.4,16,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Ayrshire & Arran,S08000015,Health board,2009,2009/2010 survey years,NA,12.2,9.6,14.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Borders,S08000016,Health board,2009,2009/2010 survey years,NA,22.8,16.8,28.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Dumfries & Galloway,S08000017,Health board,2009,2009/2010 survey years,NA,23.1,17.2,28.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Fife,S08000029,Health board,2009,2009/2010 survey years,NA,10.7,8.2,13.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Forth Valley,S08000019,Health board,2009,2009/2010 survey years,NA,12.6,9.3,15.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Grampian,S08000020,Health board,2009,2009/2010 survey years,NA,18.1,15.7,20.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Greater Glasgow & Clyde,S08000031,Health board,2009,2009/2010 survey years,NA,12.1,10.5,13.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Highland,S08000022,Health board,2009,2009/2010 survey years,NA,19.6,16.3,22.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lanarkshire,S08000032,Health board,2009,2009/2010 survey years,NA,8.7,6.8,10.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lothian,S08000024,Health board,2009,2009/2010 survey years,NA,19.8,17.6,22,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Orkney,S08000025,Health board,2009,2009/2010 survey years,NA,26,19.5,32.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Shetland,S08000026,Health board,2009,2009/2010 survey years,NA,12.8,7.1,18.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Tayside,S08000030,Health board,2009,2009/2010 survey years,NA,19.7,16.4,22.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Western Isles,S08000028,Health board,2009,2009/2010 survey years,NA,8.2,3.7,12.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Clackmannanshire,S12000005,Council area,2009,2009/2010 survey years,NA,8.8,4.7,12.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dumfries & Galloway,S12000006,Council area,2009,2009/2010 survey years,NA,23.1,17.2,28.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Ayrshire,S12000008,Council area,2009,2009/2010 survey years,NA,11.1,6.6,15.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Lothian,S12000010,Council area,2009,2009/2010 survey years,NA,10.1,6.3,13.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Renfrewshire,S12000011,Council area,2009,2009/2010 survey years,NA,5.6,2.3,8.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Na h-Eileanan Siar,S12000013,Council area,2009,2009/2010 survey years,NA,8.2,3.7,12.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Falkirk,S12000014,Council area,2009,2009/2010 survey years,NA,11.4,5.9,16.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Fife,S12000047,Council area,2009,2009/2010 survey years,NA,10.7,8.2,13.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Highland,S12000017,Council area,2009,2009/2010 survey years,NA,20.3,16.3,24.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Inverclyde,S12000018,Council area,2009,2009/2010 survey years,NA,11.5,6.2,16.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Midlothian,S12000019,Council area,2009,2009/2010 survey years,NA,12.1,7.4,16.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Moray,S12000020,Council area,2009,2009/2010 survey years,NA,19.7,14.4,24.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Ayrshire,S12000021,Council area,2009,2009/2010 survey years,NA,12.3,8.1,16.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Orkney Islands,S12000023,Council area,2009,2009/2010 survey years,NA,26,19.5,32.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Perth & Kinross,S12000048,Council area,2009,2009/2010 survey years,NA,17,11.7,22.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scottish Borders,S12000026,Council area,2009,2009/2010 survey years,NA,22.8,16.8,28.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Shetland Islands,S12000027,Council area,2009,2009/2010 survey years,NA,12.8,7.1,18.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Ayrshire,S12000028,Council area,2009,2009/2010 survey years,NA,13.5,8.4,18.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Lanarkshire,S12000029,Council area,2009,2009/2010 survey years,NA,8.5,5.8,11.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Stirling,S12000030,Council area,2009,2009/2010 survey years,NA,17,12.1,22,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeen City,S12000033,Council area,2009,2009/2010 survey years,NA,23.7,19.1,28.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeenshire,S12000034,Council area,2009,2009/2010 survey years,NA,12.7,9.7,15.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Argyll & Bute,S12000035,Council area,2009,2009/2010 survey years,NA,17.6,11.9,23.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,City of Edinburgh,S12000036,Council area,2009,2009/2010 survey years,NA,26.4,23.1,29.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Renfrewshire,S12000038,Council area,2009,2009/2010 survey years,NA,7.1,4.3,9.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Dunbartonshire,S12000039,Council area,2009,2009/2010 survey years,NA,10.4,4.7,16.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Lothian,S12000040,Council area,2009,2009/2010 survey years,NA,10.2,6.2,14.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Angus,S12000041,Council area,2009,2009/2010 survey years,NA,23.2,16.4,30,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dundee City,S12000042,Council area,2009,2009/2010 survey years,NA,19.7,14.8,24.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Lanarkshire,S12000050,Council area,2009,2009/2010 survey years,NA,8.9,6.3,11.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Dunbartonshire,S12000045,Council area,2009,2009/2010 survey years,NA,4,1.2,6.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Glasgow City,S12000049,Council area,2009,2009/2010 survey years,NA,16.8,14.1,19.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scotland,S00000001,Scotland,2012,2012/ 2013 survey years,NA,15.5,14.6,16.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Ayrshire & Arran,S08000015,Health board,2012,2012/ 2013 survey years,NA,11.2,8.2,14.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Borders,S08000016,Health board,2012,2012/ 2013 survey years,NA,17.7,11.7,23.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Dumfries & Galloway,S08000017,Health board,2012,2012/ 2013 survey years,NA,23,15.2,30.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Fife,S08000029,Health board,2012,2012/ 2013 survey years,NA,9.3,6.2,12.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Forth Valley,S08000019,Health board,2012,2012/ 2013 survey years,NA,11,8.2,13.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Grampian,S08000020,Health board,2012,2012/ 2013 survey years,NA,18.4,15.3,21.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Greater Glasgow & Clyde,S08000031,Health board,2012,2012/ 2013 survey years,NA,13,11.1,14.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Highland,S08000022,Health board,2012,2012/ 2013 survey years,NA,23,18,27.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lanarkshire,S08000032,Health board,2012,2012/ 2013 survey years,NA,8.9,6.6,11.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lothian,S08000024,Health board,2012,2012/ 2013 survey years,NA,21.9,19.3,24.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Orkney,S08000025,Health board,2012,2012/ 2013 survey years,NA,18.3,13.2,23.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Shetland,S08000026,Health board,2012,2012/ 2013 survey years,NA,11.7,7.3,16.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Tayside,S08000030,Health board,2012,2012/ 2013 survey years,NA,19,15.2,22.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Western Isles,S08000028,Health board,2012,2012/ 2013 survey years,NA,11.6,7.2,16,Percentage,Scottish Household Survey (SHS)
Active travel to work,Clackmannanshire,S12000005,Council area,2012,2012/ 2013 survey years,NA,20.8,12.6,28.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dumfries & Galloway,S12000006,Council area,2012,2012/ 2013 survey years,NA,23,15.2,30.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Ayrshire,S12000008,Council area,2012,2012/ 2013 survey years,NA,11,5.9,16.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Lothian,S12000010,Council area,2012,2012/ 2013 survey years,NA,13,7.3,18.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Renfrewshire,S12000011,Council area,2012,2012/ 2013 survey years,NA,3.3,0,6.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Na h-Eileanan Siar,S12000013,Council area,2012,2012/ 2013 survey years,NA,11.6,7.2,16,Percentage,Scottish Household Survey (SHS)
Active travel to work,Falkirk,S12000014,Council area,2012,2012/ 2013 survey years,NA,5.4,2.4,8.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Fife,S12000047,Council area,2012,2012/ 2013 survey years,NA,9.3,6.2,12.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Highland,S12000017,Council area,2012,2012/ 2013 survey years,NA,22.8,16.6,29.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,Inverclyde,S12000018,Council area,2012,2012/ 2013 survey years,NA,13.5,7.5,19.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Midlothian,S12000019,Council area,2012,2012/ 2013 survey years,NA,6.2,2.6,9.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Moray,S12000020,Council area,2012,2012/ 2013 survey years,NA,18.6,13.2,24,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Ayrshire,S12000021,Council area,2012,2012/ 2013 survey years,NA,8.8,3.8,13.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Orkney Islands,S12000023,Council area,2012,2012/ 2013 survey years,NA,18.3,13.2,23.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Perth & Kinross,S12000048,Council area,2012,2012/ 2013 survey years,NA,21.1,14.3,27.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scottish Borders,S12000026,Council area,2012,2012/ 2013 survey years,NA,17.7,11.7,23.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Shetland Islands,S12000027,Council area,2012,2012/ 2013 survey years,NA,11.7,7.3,16.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Ayrshire,S12000028,Council area,2012,2012/ 2013 survey years,NA,14.3,8.7,19.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Lanarkshire,S12000029,Council area,2012,2012/ 2013 survey years,NA,9.2,5.9,12.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Stirling,S12000030,Council area,2012,2012/ 2013 survey years,NA,14.7,9.4,20,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeen City,S12000033,Council area,2012,2012/ 2013 survey years,NA,24.4,19.1,29.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeenshire,S12000034,Council area,2012,2012/ 2013 survey years,NA,12.5,7.9,17,Percentage,Scottish Household Survey (SHS)
Active travel to work,Argyll & Bute,S12000035,Council area,2012,2012/ 2013 survey years,NA,23.3,16.8,29.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,City of Edinburgh,S12000036,Council area,2012,2012/ 2013 survey years,NA,30,26.2,33.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Renfrewshire,S12000038,Council area,2012,2012/ 2013 survey years,NA,9.9,5.6,14.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Dunbartonshire,S12000039,Council area,2012,2012/ 2013 survey years,NA,11,6.4,15.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Lothian,S12000040,Council area,2012,2012/ 2013 survey years,NA,10.4,5.7,15.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Angus,S12000041,Council area,2012,2012/ 2013 survey years,NA,15.7,10,21.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dundee City,S12000042,Council area,2012,2012/ 2013 survey years,NA,19.5,12.9,26.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Lanarkshire,S12000050,Council area,2012,2012/ 2013 survey years,NA,8.6,5.4,11.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Dunbartonshire,S12000045,Council area,2012,2012/ 2013 survey years,NA,6.9,2.6,11.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Glasgow City,S12000049,Council area,2012,2012/ 2013 survey years,NA,16.9,13.9,20,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scotland,S00000001,Scotland,2013,2013/2014 survey years,NA,15.5,14.5,16.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Ayrshire & Arran,S08000015,Health board,2013,2013/ 2014 survey years,NA,11.2,8.3,14.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Borders,S08000016,Health board,2013,2013/ 2014 survey years,NA,20.3,13.9,26.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Dumfries & Galloway,S08000017,Health board,2013,2013/ 2014 survey years,NA,19.6,12.4,26.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Fife,S08000029,Health board,2013,2013/ 2014 survey years,NA,10.6,7.3,13.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Forth Valley,S08000019,Health board,2013,2013/ 2014 survey years,NA,11.1,8.3,13.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Grampian,S08000020,Health board,2013,2013/ 2014 survey years,NA,19.5,16.3,22.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Greater Glasgow & Clyde,S08000031,Health board,2013,2013/ 2014 survey years,NA,13.6,11.8,15.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Highland,S08000022,Health board,2013,2013/ 2014 survey years,NA,21.5,16.7,26.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lanarkshire,S08000032,Health board,2013,2013/ 2014 survey years,NA,8.2,6,10.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Lothian,S08000024,Health board,2013,2013/ 2014 survey years,NA,21,18.5,23.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Orkney,S08000025,Health board,2013,2013/ 2014 survey years,NA,20.7,15.5,26,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Shetland,S08000026,Health board,2013,2013/ 2014 survey years,NA,13.4,8.7,18.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Tayside,S08000030,Health board,2013,2013/ 2014 survey years,NA,17.5,14.1,20.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Western Isles,S08000028,Health board,2013,2013/ 2014 survey years,NA,12.9,8,17.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Clackmannanshire,S12000005,Council area,2013,2013/2014 survey years,NA,15.7,9.9,21.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dumfries & Galloway,S12000006,Council area,2013,2013/2014 survey years,NA,19.6,12.4,26.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Ayrshire,S12000008,Council area,2013,2013/2014 survey years,NA,8.1,3.8,12.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Lothian,S12000010,Council area,2013,2013/2014 survey years,NA,10.4,5.5,15.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Renfrewshire,S12000011,Council area,2013,2013/2014 survey years,NA,6.2,2.6,9.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Na h-Eileanan Siar,S12000013,Council area,2013,2013/2014 survey years,NA,12.9,8,17.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Falkirk,S12000014,Council area,2013,2013/2014 survey years,NA,7.2,3.7,10.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,Fife,S12000047,Council area,2013,2013/2014 survey years,NA,10.6,7.3,13.9,Percentage,Scottish Household Survey (SHS)
Active travel to work,Highland,S12000017,Council area,2013,2013/2014 survey years,NA,21.8,15.8,27.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Inverclyde,S12000018,Council area,2013,2013/2014 survey years,NA,15,8.8,21.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Midlothian,S12000019,Council area,2013,2013/2014 survey years,NA,7.8,3.2,12.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Moray,S12000020,Council area,2013,2013/2014 survey years,NA,14.5,9.5,19.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Ayrshire,S12000021,Council area,2013,2013/2014 survey years,NA,9.9,5.6,14.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,Orkney Islands,S12000023,Council area,2013,2013/2014 survey years,NA,20.7,15.5,26,Percentage,Scottish Household Survey (SHS)
Active travel to work,Perth & Kinross,S12000048,Council area,2013,2013/2014 survey years,NA,15.7,10.2,21.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scottish Borders,S12000026,Council area,2013,2013/2014 survey years,NA,20.3,13.9,26.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,Shetland Islands,S12000027,Council area,2013,2013/2014 survey years,NA,13.4,8.7,18.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Ayrshire,S12000028,Council area,2013,2013/2014 survey years,NA,16.8,10.4,23.1,Percentage,Scottish Household Survey (SHS)
Active travel to work,South Lanarkshire,S12000029,Council area,2013,2013/2014 survey years,NA,8.2,5.1,11.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Stirling,S12000030,Council area,2013,2013/2014 survey years,NA,15.7,9.9,21.5,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeen City,S12000033,Council area,2013,2013/2014 survey years,NA,26.2,20.7,31.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Aberdeenshire,S12000034,Council area,2013,2013/2014 survey years,NA,15,10.3,19.7,Percentage,Scottish Household Survey (SHS)
Active travel to work,Argyll & Bute,S12000035,Council area,2013,2013/2014 survey years,NA,20.8,13.3,28.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,City of Edinburgh,S12000036,Council area,2013,2013/2014 survey years,NA,29.7,26,33.4,Percentage,Scottish Household Survey (SHS)
Active travel to work,Renfrewshire,S12000038,Council area,2013,2013/2014 survey years,NA,9.4,5,13.8,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Dunbartonshire,S12000039,Council area,2013,2013/2014 survey years,NA,13.4,8.5,18.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,West Lothian,S12000040,Council area,2013,2013/2014 survey years,NA,8.7,4.4,13,Percentage,Scottish Household Survey (SHS)
Active travel to work,Angus,S12000041,Council area,2013,2013/2014 survey years,NA,18.4,12.5,24.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Dundee City,S12000042,Council area,2013,2013/2014 survey years,NA,18.4,12.2,24.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,North Lanarkshire,S12000050,Council area,2013,2013/2014 survey years,NA,8.2,5.1,11.2,Percentage,Scottish Household Survey (SHS)
Active travel to work,East Dunbartonshire,S12000045,Council area,2013,2013/2014 survey years,NA,9.6,4.8,14.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,Glasgow City,S12000049,Council area,2013,2013/2014 survey years,NA,16.9,13.9,20,Percentage,Scottish Household Survey (SHS)
Active travel to work,Scotland,S00000001,Scotland,2014,2014/2015 survey years,NA,15.7,14.7,16.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Ayrshire & Arran,S08000015,Health board,2014,2014/2015 survey years,NA,10.7,7.8,13.6,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Borders,S08000016,Health board,2014,2014/2015 survey years,NA,17.1,10.9,23.3,Percentage,Scottish Household Survey (SHS)
Active travel to work,NHS Dumfries & Galloway,S08000017,Health board,2014,2014/2015 survey years,NA,20.4,13.9,26.8,Percentage,Scottish Household Survey (SHS)
